file_name,og_transcription
1249120_1853182_11719913.wav,I can't move my head up and down.
1249120_1853182_12060422.wav,Oh my heart hurts me I tried to be calm and I can't
1249120_1853182_12144833.wav,I feel depressed when I see my hair falling out
1249120_1853182_13373036.wav,I walk every day but now I get short of breath after going only a short way.
1249120_1853182_14886599.wav,i feel head ache,
hin_audio_0.wav,जब भी मैं उसे याद करता हूं तो मैं उदास हो जाता हूं
hin_audio_1.wav,जब मैं भारी चीजें उठाता हूं तो मुझे ऐसा लगता है कि मेरी कमर टूट गई है
hin_audio_2.wav,जब मैं अपना हाथ हिलाता हूं तो बहुत अधिक दर्द होता है
hin_audio_3.wav,मेरे बेटे के होंठ में छेद हो गया था और वह सूज गया है और उसके होंठ के अंदर की त्वचा भूरे रंग की है और संक्रमित दिखती है।
hin_audio_4.wav,मेरी पीठ के निचले हिस्से की मांसपेशियाँ दर्द कर रही हैं
hin_audio_5.wav,मेरी पीठ की मांसपेशियों में दर्द है
guj_audio_0.wav,જ્યારે હું તેણીને યાદ કરું છું ત્યારે હું નિરાશા અનુભવું છું
guj_audio_1.wav,જ્યારે હું ભારે વસ્તુઓ વહન કરું છું ત્યારે મને મારી કમર તોડી નાખવાનું મન થાય છે
guj_audio_2.wav,જ્યારે હું મારા હાથને ખસેડું છું ત્યારે ખૂબ પીડા થાય છે
guj_audio_3.wav,મારા પુત્રએ તેના હોઠને વીંધી નાખ્યું હતું અને તે સૂજી ગયો હતો અને તેના હોઠની અંદરની ચામડી ગ્રે છે અને ચેપ લાગે છે.
guj_audio_4.wav,મારી પીઠના નીચેના ભાગમાં સ્નાયુઓમાં દુખાવો થાય છે
guj_audio_5.wav,"મને મારી પીઠના સ્નાયુમાં દુખાવો છે મને મારા પાછળના પગમાં સ્નાયુમાં દુખાવો છે"
